NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N
1,Brasil,2,%,205.97,1,Brasil,198411,novembro 1984,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,215.26,1,Brasil,198412,dezembro 1984,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,221.27,1,Brasil,198501,janeiro 1985,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,225.28,1,Brasil,198502,fevereiro 1985,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,228.93,1,Brasil,198503,março 1985,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,224.88,1,Brasil,198504,abril 1985,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,219.36,1,Brasil,198505,maio 1985,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,214.76,1,Brasil,198506,junho 1985,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,216.44,1,Brasil,198507,julho 1985,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,224.26,1,Brasil,198508,agosto 1985,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,222.43,1,Brasil,198509,setembro 1985,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,222.95,1,Brasil,198510,outubro 1985,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,233.02,1,Brasil,198511,novembro 1985,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,242.23,1,Brasil,198512,dezembro 1985,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,250.23,1,Brasil,198601,janeiro 1986,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,256.08,1,Brasil,198602,fevereiro 1986,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,238.65,1,Brasil,198603,março 1986,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,215.44,1,Brasil,198604,abril 1986,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,198.38,1,Brasil,198605,maio 1986,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,178.52,1,Brasil,198606,junho 1986,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,156.80,1,Brasil,198607,julho 1986,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,137.33,1,Brasil,198608,agosto 1986,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,117.25,1,Brasil,198609,setembro 1986,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,100.13,1,Brasil,198610,outubro 1986,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,85.17,1,Brasil,198611,novembro 1986,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,79.66,1,Brasil,198612,dezembro 1986,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,77.84,1,Brasil,198701,janeiro 1987,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,77.71,1,Brasil,198702,fevereiro 1987,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,97.39,1,Brasil,198703,março 1987,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,133.27,1,Brasil,198704,abril 1987,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,179.40,1,Brasil,198705,maio 1987,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,230.27,1,Brasil,198706,junho 1987,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,254.63,1,Brasil,198707,julho 1987,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,259.14,1,Brasil,198708,agosto 1987,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,280.55,1,Brasil,198709,setembro 1987,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,315.35,1,Brasil,198710,outubro 1987,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,353.27,1,Brasil,198711,novembro 1987,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,363.41,1,Brasil,198712,dezembro 1987,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,386.67,1,Brasil,198801,janeiro 1988,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,399.90,1,Brasil,198802,fevereiro 1988,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,405.18,1,Brasil,198803,março 1988,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,405.99,1,Brasil,198804,abril 1988,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,389.19,1,Brasil,198805,maio 1988,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,398.54,1,Brasil,198806,junho 1988,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,456.52,1,Brasil,198807,julho 1988,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,545.24,1,Brasil,198808,agosto 1988,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,662.99,1,Brasil,198809,setembro 1988,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,761.78,1,Brasil,198810,outubro 1988,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,858.09,1,Brasil,198811,novembro 1988,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,980.21,1,Brasil,198812,dezembro 1988,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,1149.22,1,Brasil,198901,janeiro 1989,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,1160.88,1,Brasil,198902,fevereiro 1989,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,1045.29,1,Brasil,198903,março 1989,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,940.07,1,Brasil,198904,abril 1989,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,944.50,1,Brasil,198905,maio 1989,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,1001.44,1,Brasil,198906,junho 1989,2265,IPCA - Variação acumulada em 12 meses
1,Brasil,2,%,1054.11,1,Brasil,198907,julho 1989,2265,IPCA - Variação acumulada em 12 meses
